Variable name,Variable description,,,,,,,,,
RespondentID,Respondent ID,,,,,,,,,
GitHubuse,Did you implement GitHub in the classroom this past semester?,Yes (1),No (-1),,,,,,,
V123,Rate how much {{ Q11 }} has prepared your students this past semester for each of the following: Being a part of the developer community,Very little (1),2,3,4,Very much (5),,,,
V124,Rate how much {{ Q11 }} has prepared your students this past semester for each of the following: Developing a portfolio of their work,Very little (1),2,3,4,Very much (5),,,,
V125,Rate how much {{ Q11 }} has prepared your students this past semester for each of the following: Taking more advanced courses,Very little (1),2,3,4,Very much (5),,,,
Haveyouprovidedanyfeedbacktoyour Q11studentsthispastsemesterFee,"Have you provided any feedback to your {{ Q11 }} students this past semester? Feedback can take many forms (e.g., assignment-specific, exam feedback, informal feedback)",Yes (1),No (2),,,,,,,
HaveyouusedGitHubtoprovidefeedbacktoQ11studentsthispastsemester,Have you used GitHub to provide feedback to {{ Q11 }} students this past semester?,Yes (1),No (2),,,,,,,
Whattypesoffeedbackhaveyouprovidedtoyour Q11studentsthispastsem,"What type(s) of feedback have you provided to your {{ Q11 }} students this past semester? (Select all that apply): Using GitHub, delivered feedback via pull requests, line by line",,, ,,,,,,
V129,"What type(s) of feedback have you provided to your {{ Q11 }} students this past semester? (Select all that apply): Using GitHub, delivered feedback via commenting on specific commits in the code view",,,,,,,,,
V130,"What type(s) of feedback have you provided to your {{ Q11 }} students this past semester? (Select all that apply): Without using GitHub, delivered line-by-line feedback",,,,,,,,,
V131,What type(s) of feedback have you provided to your {{ Q11 }} students this past semester? (Select all that apply): General feedback on assignments or exams,,,,,,,,,
V132,What type(s) of feedback have you provided to your {{ Q11 }} students this past semester? (Select all that apply): Overall feedback on their performance in class,,,,,,,,,
V133,What type(s) of feedback have you provided to your {{ Q11 }} students this past semester? (Select all that apply): Other (please specify),,,,,,,,,
UseyourgeneralimpressionofQ11thispastsemestertoratetheitemsbelow,Use your general impression of {{ Q11 }} this past semester to rate the items below: Students understand my feedback,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
V135,Use your general impression of {{ Q11 }} this past semester to rate the items below: Students pay attention to my feedback,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
V136,Use your general impression of {{ Q11 }} this past semester to rate the items below: Students use my feedback effectively,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
V137,Use your general impression of {{ Q11 }} this past semester to rate the items below: Students find my feedback helpful,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
V138,Use your general impression of {{ Q11 }} this past semester to rate the items below: I understand my students' needs,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
HavestudentsreceivedfeedbackfrompeersinQ11thispastsemesterPeerfe,"Have students received feedback from peers in {{ Q11 }} this past semester?Peer feedback can take many forms (e.g., informal, during group projects, peer review, etc.)",Yes (1),No (2),,,,,,,
HaveQ11studentsusedGitHubtoprovidefeedbacktopeers,Have {{ Q11 }} students used GitHub to provide feedback to peers?,Yes (1),No (2),,,,,,,
UseyourgeneralimpressionofQ11thispastsemestertoratetheitemsbel_A,Students understand feedback from peers,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
V142,Students pay attention to feedback from peers,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
V143,Students use feedback from peers effectively,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
V144,Students find feedback from peers helpful,Strongly disagree (1),Disagree (2),Somewhat disagree (3),Neither agree nor disagree (4),Somewhat agree (5),Agree (6),Strongly agree (7),I don't know/Not sure (8),
Describetheamountofsupportstudentsreceivedonaveragefromeachofthe,Describe the amount of support students received on average from each of the following as they were learning GitHub: {{ Q11 }} instructor and Tas,Too little support (1),2,Just the right amount of support (3),4,Too much support (5),I don't know/Not sure (6),,,
V146,Describe the amount of support students received on average from each of the following as they were learning GitHub: {{ Q11 }} peers,Too little support (1),2,Just the right amount of support (3),4,Too much support (5),I don't know/Not sure (6),,,
HoweasyordifficultwasitfortheaveragestudentinQ11tolearnhowtouseG,How easy or difficult was it for the average student in {{ Q11 }} to learn how to use GitHub?,Easy (1),Slightly easy (2),Neither easy nor difficult (3),Slightly difficult (4),Difficult (5),,,,
AbouthowlonghaveyoubeenusingGitHub,About how long have you been using GitHub?,Less than 1 month (1),1 to 3 months (2),3 to 6 months (3),6 months to 1 year (4),Over 1 year (5),I don't use GitHub (6),,,
TowhatextentdidGitHubmeetyourexpectations,To what extent did GitHub meet your expectations?,Not at all (1),Slightly (2),Moderately (3),Mostly (4),Completely (5),,,,
InthefuturewillyoucontinuetoimplementGitHubintheclassroom,"In the future, will you continue to implement GitHub in the classroom?",Yes (1),No (2),Maybe (3),,,,,,
Gender,Gender,Female (1),Male (2),Non-binary (3),,,,,,
V162,Gender: Prefer to self-describe,,,,,,,,,
RaceandEthnicitySelectallthatapply,Race and Ethnicity (Select all that apply): Black or of African descent,,,,,,,,,
V164,Race and Ethnicity (Select all that apply): East Asian,,,,,,,,,
V165,Race and Ethnicity (Select all that apply): Hispanic or Latino/Latina,,,,,,,,,
V166,Race and Ethnicity (Select all that apply): Middle Eastern,,,,,,,,,
V167,"Race and Ethnicity (Select all that apply): Native American, Pacific Islander, or Indigenous Australian",,,,,,,,,
V168,Race and Ethnicity (Select all that apply): South Asian,,,,,,,,,
V169,Race and Ethnicity (Select all that apply): White or of European descent,,,,,,,,,
